ID,EVENT_NAME,YEAR,DATE,DESCRIPTION,LOCATION_NAME,ADDRESS,LATITUDE,LONGITUDE,SOURCE_NAME,SOURCE_LINK,PEOPLE,TAGS
36,Project Notification Form - Alexandra Site,2018,11/30/2018,"Project Notification Form, prepared by Epsilon Assoc, explores impacts and mitigation strategies for a 150-room hotel in a 12-story tower behind restored facade, with 66,000 sf.",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33646728,71.07755636,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI9,,
37,BPDA Approval - Alexandra Site,2019,3/14/2019,"BPDA approved 12 stories, 12th floor offering public access with a rooftop bar ""overlooking the city.""",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33644745,71.07753557,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI10,,
38,Residents of the Hotel Alexandra,1875-1900,,"Besides being an investment, the Alexandra may also have been created to provide an in-town home for principals of the Walworth Manufacturing Company.  One of the original residents was James J. Walworth himself.  He moved from his home in Newtonville to the Alexandra upon its completion in September of 1875, and he lived there until his death on April 28, 1896.  Being in his late 60's at the time of his move, Walworth probably appreciated the convenience of living on one floor.  The treasurer of the Walworth Manufacturing Company, Emil C. Hammer, also moved into the Alexandra with his wife Martha.  By 1890 Hammer had become co-owner of the Alexandra with Walworth, and was also Denmark's Consul in Boston. ",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33647818,71.0775349,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
39,Hotel Alexandra Occupancy,1875-1900,,"The eight suites found willing tenants quickly, and by November of 1875 the Alexandra was fully leased.  The apartments were luxurious by today's standards, consisting of approximately 2,000 square feet each.  They consisted of two drawing rooms connected by double doors, a formal dining room, two principal bedrooms, a kitchen, a bath, and a servant's bedroom.  Ceilings were uniformly almost 12 feet in height, with plaster crown moldings.  Marble-mantled coal grates provided additional heat and atmosphere, and glass transoms over the doors provided ventilation.  A mechanical dumbwaiter was accessible from the kitchen of each unit, making the delivery of groceries less difficult for servants.  Suites like these were designed to appeal to young couples and ""empty-nesters"" in the language of today's real estate market, giving rise to the nineteenth century expression that residential hotels were built for ""the newly wed and the nearly dead"". 

 

The Alexandra remained a prestigious address until the new elevated electric train was run past its front doors in 1900.  This noisy and unattractive intrusion altered the character of Washington Street for the next eight decades, and so began the Alexandra's years of decline.  Caleb Walworth had moved from his Blackstone Square house to Longwood (Brookline), where he died in 1894, at which point ownership of the Alexandra passed out of family hands.  After James Walworth's death in 1896 his widowed second wife Lydia left the Alexandra, ending the family's involvement with the building for all time.  

The twentieth century was not kind to the Alexandra or its immediate environs, but the renewal of Washington Street bodes well for its future.  Today, it remains a tarnished but wonderfully intact reminder of a time when people changed the way they lived in urban neighborhoods, shifting from the vertical life of the individual row house to the horizontal life and shared amenities of the modern apartment building.  It also embodies the fortunes of a prominent South End family and its rise to success on the wave of nineteenth century technology and manufacturing that so characterized the builders of the South End. ",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33642465,71.07750272,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
40,Decline of Alexandra Hotel,1900-1950,,"With the development of Back Bay, the Alexandra's prominence diminished and it became a boarding house in the early 1900's. The building was eventually abandoned and it fell into disrepair. It remained virtually empty for more than 30 plus years.",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33658228,71.07759592,The Chester Square Area Neighborhood Association Report (12/2014),https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Larievy%20Lindquist%20REPORT%203%20Dec%202014.docx?d=wc4478309f2c6462ea2fbbd6e447a6515&csf=1&web=1&e=glSaUc,,
41,Elevated Orange Line Construction,1901-1909,,Elevated Orange Line blocks the sun and trains rattle in front of the windows ,Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33661499,71.07763884,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI1,,
42,Hotel Alexandra History,,,"The Hotel Alexandra, located at the busy corner of Massachusetts Avenue and Washington Street, is one of the South End's most prominent buildings, but it is also one of the least understood and appreciated.  Boarded up for decades, its history has never been researched in any detail, but recent events have put it back in the news and made an examination of its past clearly overdue. 

Years of neglect, failed businesses, a series of disastrous fires, and a break-in by a group of advocates for the homeless, and more recently, the failure to begin development by the current owner have kept the former luxury apartment building in the news, but for all the wrong reasons.  Now, supposedly for sale, its time may finally have arrived as the last few undeveloped parcels on Washington Street have been targeted by real estate developers.   

Even a cursory look at the Alexandra reveals it to be a very handsome building that is in dire need of a bath.  The beautiful red and buff-colored sandstone facade is blackened by more than a century of soot, although a recent cleaning has revealed its true colors.  The current owner leased out and painted the store fronts with the advice of the South End Landmark District Commission staff, revealing them to be among the most striking cast-iron Victorian store fronts in Boston.  Their intricate neo-gothic detail is set off by bands of color that match the stonework above. ",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33649999,71.07748998,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
43,"""Jazz Square"" Designated by the City of Boston",2022,10/22/2024,"The City of Boston designates this spot as ""JAZZ SQUARE"" to pay tribute to the unique and colorful musical history of this culturally significant part of Boston ",Massachusetts Avenue and Columbus Avenue,Massachusetts Avenue and Columbus Avenue,42.34057401,71.08175768,"COOL ""MASS AVE"" JAZZ FACTS: Crosstown Jazz ","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
44,Crosstown Jazz Memories,1940-1950,,"Journalist Douglas O'Connor recalls the ""raffish glamour"" of Crosstown when he was growing up in the Lenox St. projects in the 1940s. ""At night, to the eyes of a child, the corner of Mass. and Columbus could appear both sparkling and frightening. The big signs, the constant flash of movement, the intensity of the place overloaded my brain. It seemed as if the people I saw were blessed with the grace of wealth and style. It was fantasy, of course. One could realize that fact when daylight came. The place was shabby genteel, at best."" In The Boston Jazz Chronicles, author Richard Vacca identifies three Crosstown periods: an upsurge in big bands and dance halls during World War II and the influx of servicemen with money to spend; depression after the war; and the Fifties, when everything started going downhill. ",Massachusetts Avenue and Columbus Avenue,Massachusetts Avenue and Columbus Avenue,42.34062003,71.08165643,"COOL ""MASS AVE"" JAZZ FACTS: Crosstown Jazz ","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
45,Mass. Ave. becomes a hangout with many Nightclubs and bar,1940-1960,,"Nightclubs and bars stretch up Mass. Ave. The black community calls this area Crosstown or simply ""The Avenue."" The Mid-Town Journal calls it ""a place where anyone interested could find action around the clock."" Says Lil Martin of W. Springfield St.: ""My brother Walter used to say, 'C'mon, Lil, let's just have one drink.' And when we'd come out the door, the sun would be shining.""",Massachusetts Avenue and Columbus Avenue,Massachusetts Avenue and Columbus Avenue,42.34056323,71.08169042,"COOL ""MASS AVE"" JAZZ FACTS: Crosstown Jazz ","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
46,The South End shifts demographics,1892-1902,,"Of the period 1898 to 1902, black author Walter J. Stevens (Chip on My Shoulder, 1946), writes, ""So many colored folks were beginning to leave the West End to take up residence in the South End that it started my worrying and wondering what advantage there was in doing so... Be that as it may, there was no denying that the fun and social life, especially among the young people, had shifted to the South End.""",Massachusetts Avenue and Columbus Avenue,Massachusetts Avenue and Columbus Avenue,42.34064297,71.08176578,"COOL ""MASS AVE"" JAZZ FACTS: Crosstown Jazz ","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
47,Urban Renewal,1950-1980,,"""Urban Renewal"" razes much of the South End and Lower Roxbury, displacing residents and businesses, and consolidating lots for large concrete structures and parking lots ",South End; Lower Roxbury,,42.34083677,71.07074198,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI2,,
48,The development of Washington Street,2002-????,,There was a well-documented efforts of Washington Gateway Main Streets in initiating and sustaining the development of Washington Street. The Board and Director wanted to expand this development of Washington Street from Massachusetts Ave to Dudley Station and were in the beginning stages of outlining a master plan for this project. They recognized that the Alexandra has a crucial role in the successful implementation and maximization of the plan since The Alexandra Hotel is a critical link to the Dudley Station area along Washington Street.,Dudley Station,"247 Washington St, Boston, MA 02121",42.35791109,71.05825008,The Chester Square Area Neighborhood Association Report (12/2014),https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Larievy%20Lindquist%20REPORT%203%20Dec%202014.docx?d=wc4478309f2c6462ea2fbbd6e447a6515&csf=1&web=1&e=glSaUc,,
